id,name,nivel,adscripcion,perfil,descriptor,areas,lineas,menciones,enfasis,cupos_sem,cupos_tit
1,"Abud Carrillo, Jenny",Prof. Adjunta,- Escuela de Pregrado,Sin perfil en el portafolio académico,"Diseño gráfico, Cultura y DDHH con un enfoque de diseño de información, editorial y rescate patrimonial.",6 7,4 6,2,1 3,0,0
—,"Basáez Villagrán, Christian",Prof. Adjunto,- Escuela de Pregrado,https://uchile.cl/portafolio-academico/academico/64686,,,1 2,1,1,0,0
2,"Benavides Bermúdez, Paola",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/273296,"Materiales, mecánica de fluidos, termodinámica y eficiencia energética aplicada a  proyectos de economía circular y sostenibilidad.",5,2,1,1 2,0,0
—,"Bustamante Salazar, Jacob",En jerarquización,- Escuela de Pregrado,Sin perfil en el portafolio académico,"Diseñador Gráfico, Magíster en Comunicación Social y estudios de Doctorado en Territorio, Espacio y Sociedad. En investigación, desarrolla temáticas que vinculan la Visualización de datos, los Territorios Digitales, el Diseño y otras transdisciplinas.",7 8,1 3 5,0 2,1 2,0,0
—,"Calvo Ivanovic, Ingrid",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/71099,,,,,,0,0
3,"Castillo Espinoza, Eduardo",Prof. Asociado,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/40224,"Historia del Diseño, Cultura Visual, Cultura Material, Patrimonio.",7 8,4 5 6,0 2,2 3,4,4
—,"Cattan Lavín, Magdalena ",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/60796,,,,,,0,0
4,"Cortés López, Claudio",Prof. Asociado,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/12376,Imagenología y visualidad en diseño (semiótica y estética de la imagen en diseño) el curso se encuentra asociado a la investigación de la imagen en diseño.,,3 5,2,2,0,0
5,"Cortez Orellana, Felipe ",Prof. Adjunto,- Escuela de Pregrado,https://uchile.cl/portafolio-academico/academico/51470,"Investigación cualitativa con marcos narrativos y/o fenomenológicos, puesta en relación con la ciencia de la imagen (Bildwissenschaft) y aplicada al diseño de comunicación visual informativa.",7 8,1 3 5,0 2,1,2,2
6,"de la Sotta Lazzerini, Paola",Prof. Asociada,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/21430,"Rescate patrimonial con diseño participativo y social, vinculado a diversas comunidades del país.",4 5 6 8,4,0 1,1 2 3,1,0
7,"Domínguez González, Pablo ",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/51141,"Trabajo multidisciplinario y transdisciplinario (diseño - medicina), con materiales compuestos, incluyendo biomateriales.",1 5,1 2,0 1,1 2,0,0
